Sly and the Family Stone,,,10,5,,6,,,2,,5,6,8,5,,5,,5,,5,,7,6,,,10,5,8,2,,5,5
Marvin Gaye,10,,10,10,,5,,,4,,5,5,5,5,,5,9,6,6,7,,10,10,,,10,3,8,1,,5,5
Stevie Wonder,9,,10,5,,10,,,2,,5,7,10,7,,6,10,8,,7,,10,10,,,10,7,10,7,,6,9
Aretha Franklin,8,,9,7,,8,,,2,,5,6,8,5,,7,10,6,7,7,,9,6,,,10,4,9,6,,5,5
Curtis Mayfield,9,,7,5,,6,,,2,,5,6,5,5,,5,10,5,,5,,8,0,,,10,5,9,5,,5,5
Otis Redding,,,7,6,,4,,,2,,5,6,5,5,,5,,8,,5,,7,8,,,10,3,10,9,,6,5
Miles Davis,10,,10,5,,8,10,,,,4,8,9,,,9,,5,,5,,9,10,,8,9,7,8,10,,6,10
Duke Ellington,7,,7,5,,10,9,,,,4,7,10,,,9,9,6,,7,,7,10,,10,9,8,10,9,,5,8
John Coltrane,9,,9,5,,10,9,,,,4,8,9,,,5,,7,7,6,,9,10,,10,9,9,10,9,,6,7
Charlie Parker,5,,9,5,,10,7,,,,4,8,10,,,5,,6,,5,,7,10,,9,5,9,9,9,,5,9
Charles Mingus,10,,10,8,,10,10,,,,4,7,10,,,5,,6,,6,,10,10,,9,9,7,10,7,,5,7
Herbie Hancock,9,,10,7,,10,9,,,,4,6,10,,,5,,5,,5,,8,10,,10,10,8,10,10,,5,8
Ella Fitzgerald,5,,7,9,,8,7,,,,5,6,10,,,7,10,5,7,5,,6,8,,10,10,7,9,5,,5,9
Louis Armstrong,8,,7,8,,8,7,,,,8,7,9,,,7,,10,,8,,,10,,7,10,6,9,8,,5,10
Frank SInatra,5,,8,8,,9,6,,,,9,5,9,,,9,,9,8,6,,7,10,,7,10,8,8,6,,5,9
Kenny G,5,,0,9,,10,4,,,,4,3,5,,,5,,6,4,5,,3,5,,9,5,7,2,6,,5,6
Bach,,,10,,,7,5,,,,,10,5,,,5,,7,,3,,9,,,,10,5,10,0,,5,8
Mozart,,,6,,,7,6,,,,,7,6,,,8,,7,,4,,8,,,,10,6,8,0,,5,8
Beethoven,,,6,,,7,7,,,,,10,6,,,7,,8,,7,,8,,,,10,7,10,0,,5,8
Schubert,,,5,,,6,7,,,,,7,4,,,5,,5,,5,,6,,,,10,7,8,0,,5,6
Chopin,,,5,,,7,9,,,,,10,5,,,10,,6,,6,,7,,,,10,7,10,1,,5,7
Tchaikovsky,,,7,,,7,6,,,,,8,,,,8,10,6,,7,,9,,,,10,4,9,2,,5,8
Debussy,,,8,,,7,10,,,,,9,5,,,10,,5,,5,,9,,,,10,3,10,0,,5,7
Stravinsky,,,6,,,8,5,,,,,8,,,,5,,5,,5,,10,,,,10,9,9,4,,5,7
Steve Reich,,,5,,,7,5,,,,,7,,,,5,,5,,5,,8,,,,5,3,10,0,,5,7
Phillip Glass,,,5,,,7,4,,,,,6,,,,5,,6,,5,,9,,,,5,5,9,0,,5,8
